timestamp,x,y
116.430,975,553
116.438,975,553
116.446,975,553
116.455,975,553
116.463,975,553
116.472,975,553
116.481,975,553
116.489,975,553
116.498,975,553
116.506,975,553
116.515,975,553
116.523,975,553
116.531,975,553
116.540,975,553
116.548,975,553
116.556,975,553
116.565,975,553
116.574,975,553
116.582,975,553
116.591,975,553
116.599,975,553
116.608,975,553
116.616,975,553
116.624,975,553
116.633,975,553
116.641,975,553
116.650,975,553
116.658,975,553
116.666,975,553
116.675,975,553
116.683,975,553
116.692,975,553
116.700,975,553
116.709,975,553
116.717,975,553
116.726,975,553
116.735,975,553
116.743,975,553
116.751,975,553
116.760,975,553
116.768,975,553
116.776,975,553
116.785,975,553
116.793,975,553
116.802,975,553
116.810,975,553
116.818,975,553
116.827,975,553
116.835,975,553
116.843,975,553
116.852,975,553
116.860,975,553
116.869,975,553
116.877,975,553
116.886,975,553
116.894,975,553
116.903,975,553
116.911,975,553
116.919,975,553
116.928,975,553
116.936,975,553
116.944,975,553
116.953,975,553
116.961,975,553
116.970,975,553
116.978,975,553
116.987,975,553
116.996,975,553
117.004,975,553
117.013,975,553
117.021,975,553
117.030,975,553
117.038,975,553
117.047,975,553
117.055,975,553
117.064,975,553
117.072,975,553
117.081,975,553
117.089,975,553
117.098,975,553
117.106,975,553
117.115,975,553
117.123,975,553
117.131,975,553
117.140,975,553
117.148,975,553
117.157,975,553
117.165,975,553
117.173,975,553
117.182,975,553
117.190,975,553
117.198,975,553
117.207,975,553
117.215,975,553
117.224,975,553
117.232,975,553
117.240,975,553
117.249,975,553
117.257,975,553
117.265,975,553
117.274,975,553
117.282,975,553
117.290,975,553
117.299,975,553
117.307,975,553
117.316,975,553
117.324,975,553
117.332,975,553
117.341,975,553
117.349,975,553
117.358,975,553
117.366,975,553
117.375,975,553
117.383,975,553
117.392,975,553
117.400,975,553
117.408,975,553
117.417,975,553
117.425,975,553
117.434,975,553
117.442,975,553
117.451,975,553
117.460,975,553
117.468,975,553
117.476,975,553
117.485,975,553
117.493,975,553
117.501,975,553
117.509,975,553
117.518,975,553
117.526,975,553
117.535,975,553
117.543,975,553
117.551,975,553
117.560,975,553
117.569,975,553
117.577,975,553
117.586,975,553
117.594,975,553
117.602,975,553
117.611,975,553
117.619,975,553
117.628,975,553
117.636,975,553
117.644,975,553
117.653,975,553
117.661,975,553
117.670,975,553
117.678,975,553
117.686,975,553
117.695,975,553
117.703,975,553
117.711,975,553
117.719,975,553
117.728,975,553
117.736,975,553
117.745,975,553
117.754,975,553
117.762,975,553
117.771,975,553
117.779,975,553
117.788,975,553
117.796,975,553
117.805,975,553
117.813,975,553
117.821,975,553
117.830,975,553
117.838,975,553
117.846,975,553
117.855,975,553
117.863,975,553
117.872,975,553
117.880,975,553
117.889,975,553
117.897,975,553
117.906,975,553
117.915,975,553
117.923,975,553
117.932,975,553
117.940,975,553
117.949,975,553
117.957,975,553
117.966,975,553
117.974,975,553
117.983,975,553
117.991,975,553
118.000,975,553
118.008,975,553
118.017,975,553
118.025,975,553
118.034,975,553
118.043,975,553
118.051,975,553
118.059,975,553
118.068,975,553
118.076,975,553
118.085,975,553
118.093,975,553
118.102,975,553
118.110,975,553
118.119,975,553
118.127,975,553
118.135,975,553
118.144,975,553
118.152,975,553
118.160,975,553
118.169,975,553
118.177,975,553
118.186,975,553
118.194,975,553
118.203,975,553
118.212,975,553
118.220,975,553
118.229,975,553
118.237,975,553
118.246,975,553
118.254,975,553
118.263,975,553
118.271,975,553
118.280,975,553
118.289,975,553
118.297,975,553
118.306,975,553
118.315,975,553
118.323,975,553
118.331,975,553
118.340,975,553
118.348,975,553
118.357,975,553
118.365,975,553
118.374,975,553
118.382,975,553
118.391,975,553
118.400,975,553
118.408,975,553
118.416,975,553
118.425,975,553
118.433,975,553
118.442,975,553
118.450,975,553
118.458,975,553
118.467,975,553
118.475,975,553
118.483,975,553
118.492,975,553
118.500,975,553
118.509,975,553
118.517,975,553
118.525,975,553
118.533,975,553
118.542,975,553
118.550,975,553
118.559,975,553
118.567,975,553
118.575,975,553
118.584,975,553
118.592,975,553
118.601,975,553
118.609,975,553
118.618,975,553
118.626,975,553
118.634,975,553
118.643,975,553
118.651,975,553
118.659,975,553
118.668,975,553
118.676,975,553
118.684,975,553
118.692,975,553
118.701,975,553
118.709,975,553
118.718,975,553
118.726,975,553
118.735,975,553
118.743,975,553
118.752,975,553
118.760,975,553
118.768,975,553
118.777,975,553
118.785,975,553
118.793,975,553
118.802,975,553
118.810,975,553
118.819,975,553
118.827,975,553
118.835,975,553
118.844,975,553
118.852,975,553
118.861,975,553
118.869,975,553
118.878,975,553
118.886,975,553
118.895,975,553
118.903,975,553
118.911,975,553
118.919,975,553
118.928,975,553
118.936,975,553
118.945,975,553
118.953,975,553
118.962,975,553
118.970,975,553
118.979,975,553
118.987,975,553
118.996,975,553
119.004,975,553
119.012,975,553
119.021,975,553
119.029,975,553
119.038,975,553
119.046,975,553
119.055,975,553
119.063,975,553
119.072,975,553
119.080,975,553
119.089,975,553
119.098,975,553
119.106,975,553
119.115,975,553
119.123,975,553
119.132,975,553
119.140,975,553
119.148,975,553
119.156,975,553
119.165,975,553
119.173,975,553
119.182,975,553
119.190,975,553
119.199,975,553
119.207,975,553
119.216,975,553
119.224,975,553
119.233,975,553
119.242,975,553
119.250,975,553
119.258,975,553
119.267,975,553
119.275,975,553
119.283,975,553
119.292,975,553
119.300,975,553
119.308,975,553
119.317,975,553
119.325,975,553
119.333,975,553
119.342,975,553
119.350,975,553
119.358,975,553
119.367,975,553
119.375,975,553
119.384,975,553
119.393,975,553
119.401,975,553
119.409,975,553
119.418,975,553
119.426,975,553
119.435,975,553
119.443,975,553
119.451,975,553
119.460,975,553
119.468,975,553
119.476,975,553
119.485,975,553
119.493,975,553
119.502,975,553
119.510,975,553
119.518,975,553
119.527,975,553
119.535,975,553
119.544,975,553
119.553,975,553
119.561,975,553
119.570,975,553
119.578,975,553
119.587,975,553
119.613,975,553
119.645,975,553
119.682,975,553
119.694,975,553
119.716,975,553
119.750,975,553
119.783,975,553
119.816,975,553
119.850,975,553
119.868,975,553
119.886,975,553
119.921,975,553
119.954,975,553
119.987,975,553
120.021,975,553
120.053,975,553
120.062,975,553
120.072,975,553
120.087,975,553
120.105,975,553
120.120,975,553
120.137,975,553
120.152,975,553
120.161,975,553
120.172,975,553
120.185,975,553
120.195,975,553
120.204,975,553
120.219,975,553
120.231,975,553
120.241,975,553
120.257,975,553
120.273,975,553
120.289,975,553
120.298,975,553
120.324,975,553
120.342,975,553
120.359,975,553
120.368,975,553
120.391,975,553
120.402,975,553
120.424,975,553
120.439,975,553
120.456,975,553
120.474,975,553
120.493,975,553
120.504,975,553
120.528,975,553
120.542,975,553
120.570,975,553
120.590,975,553
120.603,975,553
120.613,975,553
120.622,975,553
120.630,975,553
120.638,975,553
120.646,975,553
120.655,975,553
120.664,975,553
120.672,975,553
120.680,975,553
120.689,975,553
120.698,975,553
120.706,975,553
120.715,975,553
120.723,975,553
120.731,975,553
120.742,975,553
120.750,975,553
120.762,975,553
120.771,975,553
120.780,975,553
120.789,975,553
120.797,975,553
120.805,975,553
120.814,975,553
120.822,975,553
120.830,975,553
120.839,975,553
120.847,975,553
120.855,975,553
120.864,975,553
120.874,975,553
120.883,975,553
120.891,975,553
120.900,975,553
120.908,975,553
120.916,975,553
120.925,975,553
120.933,975,553
120.942,975,553
120.950,975,553
120.959,975,553
120.967,975,553
120.976,975,553
120.984,975,553
120.993,975,553
121.001,975,553
121.009,975,553
121.018,975,553
121.026,975,553
121.034,975,553
121.043,975,553
121.051,975,553
121.059,975,553
121.068,975,553
121.076,975,553
121.085,975,553
121.093,975,553
121.101,975,553
121.109,975,553
121.117,975,553
121.126,975,553
121.135,975,553
121.143,975,553
121.151,975,553
121.160,975,553
121.168,975,553
121.176,975,553
121.185,975,553
121.193,975,553
121.202,975,553
121.210,975,553
121.218,975,553
121.227,975,553
121.236,975,553
121.244,975,553
121.252,975,553
121.261,975,553
121.269,975,553
121.278,975,553
121.287,975,553
121.296,975,553
121.305,975,553
121.313,975,553
121.321,975,553
121.330,975,553
121.338,975,553
121.346,975,553
121.355,975,553
121.364,975,553
121.372,975,553
121.381,975,553
121.390,975,553
121.398,975,553
121.407,975,553
121.415,975,553
121.423,975,553
121.432,975,553
121.440,975,553
121.449,975,553
121.458,975,553
121.466,975,553
121.475,975,553
121.483,975,553
121.492,975,553
121.501,975,553
121.509,975,553
121.518,975,553
121.527,975,553
121.535,975,553
121.543,975,553
121.552,975,553
121.560,975,553
121.569,975,553
121.577,975,553
121.586,975,553
121.595,975,553
121.603,975,553
121.611,975,553
121.620,975,553
121.628,975,553
121.637,975,553
121.645,975,553
121.654,975,553
121.662,975,553
121.671,975,553
121.679,975,553
121.687,975,553
121.696,975,553
121.705,975,553
121.713,975,553
121.721,975,553
121.730,975,553
121.738,975,553
121.747,975,553
121.755,975,553
121.764,975,553
121.772,975,553
121.780,975,553
121.789,975,553
121.798,975,553
121.806,975,553
121.814,975,553
121.823,975,553
121.831,975,553
121.840,975,553
121.849,975,553
121.857,975,553
121.866,975,553
121.874,975,553
121.883,975,553
121.891,975,553
121.899,975,553
121.907,975,553
121.916,975,553
121.924,975,553
121.932,975,553
121.941,975,553
121.949,975,553
121.957,975,553
121.966,975,553
121.974,975,553
121.982,975,553
121.991,975,553
121.999,975,553
122.008,975,553
122.016,975,553
122.025,975,553
122.033,975,553
122.042,975,553
122.050,975,553
122.059,975,553
122.067,975,553
122.076,975,553
122.084,975,553
122.093,975,553
122.101,975,553
122.110,975,553
122.118,975,553
122.127,975,553
122.135,975,553
122.144,975,553
122.152,975,553
122.160,975,553
122.169,975,553
122.177,975,553
122.185,975,553
122.194,975,553
122.202,975,553
122.211,975,553
122.219,975,553
122.227,975,553
122.236,975,553
122.244,975,553
122.253,975,553
122.261,975,553
122.269,975,553
122.278,975,553
122.286,975,553
122.295,975,553
122.303,975,553
122.311,975,553
122.320,975,553
122.328,975,553
122.336,975,553
122.345,975,553
122.354,975,553
122.362,975,553
122.370,975,553
122.379,975,553
122.387,975,553
122.396,975,553
122.404,975,553
122.412,975,553
122.421,975,553
122.430,975,553
122.438,975,553
122.447,975,553
122.455,975,553
122.463,975,553
122.472,975,553
122.480,975,553
122.488,975,553
122.496,975,553
122.505,975,553
122.514,975,553
122.522,975,553
122.530,975,553
122.539,975,553
