time,x,y,dx,dy,speed,dt
1761282800.0,790.0,664.0,-10.0,0.0,10.0,0.001
1761282800.0,790.0,664.0,0.0,0.0,0.0,0.001
1761282800.0,790.0,664.0,0.0,0.0,0.0,0.001
1761282800.0,790.0,664.0,0.0,0.0,0.0,0.001
1761282800.0,790.0,664.0,0.0,0.0,0.0,0.001
1761282800.0,790.0,664.0,0.0,0.0,0.0,0.001
1761282800.0,790.0,664.0,0.0,0.0,0.0,0.001
1761282800.0,790.0,664.0,0.0,0.0,0.0,0.001
1761282800.0,790.0,664.0,0.0,0.0,0.0,0.001
1761282800.0,790.0,664.0,0.0,0.0,0.0,0.001
1761282800.0,790.0,664.0,0.0,0.0,0.0,0.001
1761282800.0,794.0,657.0,4.0,-7.0,8.062258,0.001
1761282800.0,810.0,629.0,16.0,-28.0,32.24903,0.001
1761282800.0,816.0,609.0,6.0,-20.0,20.880613,0.001
1761282800.0,826.0,592.0,10.0,-17.0,19.723083,0.001
1761282800.0,849.0,553.0,23.0,-39.0,45.276924,0.001
1761282800.0,857.0,540.0,8.0,-13.0,15.264338,0.001
1761282800.0,869.0,520.0,12.0,-20.0,23.323807,0.001
1761282800.0,910.0,459.0,41.0,-61.0,73.4983,0.001
1761282800.0,933.0,429.0,23.0,-30.0,37.802116,0.001
1761282800.0,953.0,401.0,20.0,-28.0,34.4093,0.001
1761282800.0,996.0,348.0,43.0,-53.0,68.24954,0.001
1761282800.0,1009.0,328.0,13.0,-20.0,23.853722,0.001
1761282800.0,1035.0,294.0,26.0,-34.0,42.80187,0.001
1761282800.0,1044.0,281.0,9.0,-13.0,15.811388,0.001
1761282800.0,1058.0,269.0,14.0,-12.0,18.439089,0.001
1761282800.0,1069.0,257.0,11.0,-12.0,16.27882,0.001
1761282800.0,1073.0,250.0,4.0,-7.0,8.062258,0.001
1761282800.0,1077.0,247.0,4.0,-3.0,5.0,0.001
1761282800.0,1077.0,247.0,0.0,0.0,0.0,0.001
1761282800.0,1077.0,247.0,0.0,0.0,0.0,0.001
1761282800.0,1077.0,247.0,0.0,0.0,0.0,0.001
1761282800.0,1077.0,247.0,0.0,0.0,0.0,0.001
1761282800.0,1077.0,247.0,0.0,0.0,0.0,0.001
1761282800.0,1077.0,247.0,0.0,0.0,0.0,0.001
1761282800.0,1077.0,247.0,0.0,0.0,0.0,0.001
1761282800.0,1077.0,247.0,0.0,0.0,0.0,0.001
1761282800.0,1077.0,247.0,0.0,0.0,0.0,0.001
1761282800.0,1077.0,247.0,0.0,0.0,0.0,0.001
1761282800.0,1077.0,247.0,0.0,0.0,0.0,0.001
1761282800.0,1077.0,247.0,0.0,0.0,0.0,0.001
1761282800.0,1077.0,247.0,0.0,0.0,0.0,0.001
1761282800.0,1077.0,247.0,0.0,0.0,0.0,0.001
1761282800.0,1077.0,247.0,0.0,0.0,0.0,0.001
1761282800.0,1078.0,247.0,1.0,0.0,1.0,0.001
1761282800.0,1080.0,247.0,2.0,0.0,2.0,0.001
1761282800.0,1085.0,258.0,5.0,11.0,12.083046,0.001
1761282800.0,1091.0,269.0,6.0,11.0,12.529964,0.001
1761282800.0,1099.0,284.0,8.0,15.0,17.0,0.001
1761282800.0,1104.0,302.0,5.0,18.0,18.681541,0.001
1761282800.0,1124.0,342.0,20.0,40.0,44.72136,0.001
1761282800.0,1130.0,359.0,6.0,17.0,18.027756,0.001
1761282800.0,1139.0,380.0,9.0,21.0,22.847319,0.001
1761282800.0,1163.0,430.0,24.0,50.0,55.461697,0.001
1761282800.0,1175.0,453.0,12.0,23.0,25.942244,0.001
1761282800.0,1182.0,478.0,7.0,25.0,25.96151,0.001
1761282800.0,1192.0,504.0,10.0,26.0,27.856777,0.001
1761282800.0,1207.0,550.0,15.0,46.0,48.38388,0.001
1761282800.0,1215.0,575.0,8.0,25.0,26.24881,0.001
1761282800.0,1224.0,597.0,9.0,22.0,23.769728,0.001
1761282800.0,1231.0,615.0,7.0,18.0,19.313208,0.001
1761282800.0,1242.0,646.0,11.0,31.0,32.89377,0.001
1761282800.0,1247.0,659.0,5.0,13.0,13.928389,0.001
1761282800.0,1249.0,664.0,2.0,5.0,5.3851647,0.001
1761282800.0,1256.0,678.0,7.0,14.0,15.652476,0.001
1761282800.0,1256.0,680.0,0.0,2.0,2.0,0.001
1761282800.0,1258.0,686.0,2.0,6.0,6.3245554,0.001
1761282800.0,1260.0,691.0,2.0,5.0,5.3851647,0.001
1761282800.0,1262.0,696.0,2.0,5.0,5.3851647,0.001
1761282800.0,1263.0,698.0,1.0,2.0,2.236068,0.001
1761282800.0,1263.0,700.0,0.0,2.0,2.0,0.001
1761282800.0,1263.0,701.0,0.0,1.0,1.0,0.001
